fid,IMG_0196_1_reflectance_1,IMG_0196_1_reflectance_2,IMG_0196_1_reflectance_3,IMG_0196_1_reflectance_4,IMG_0196_1_reflectance_5,IMG_0196_1_reflectance_6,20240909_week8_orthomosaic_metacali_1,20240909_week8_orthomosaic_metacali_2,20240909_week8_orthomosaic_metacali_3,20240909_week8_orthomosaic_metacali_4,20240909_week8_orthomosaic_metacali_5
20,525,1482,1790,870,2934,5586,0.21181,0.34097,0.28583,0.50919,0.72358
21,,655,1058,,1703,4182,0.06335,0.17054,0.1094,0.30294,0.67213
22,81,622,1235,,1676,4388,0.33395,0.54317,0.21402,0.74426,1.14098
23,,692,1233,,2001,4995,0.07729,0.19097,0.05476,0.38295,0.81808
24,305,1090,1541,666,2208,4322,0.15519,0.31883,0.11278,0.53671,0.96908
25,,747,1121,,1771,4727,0.03657,0.13776,0.0353,0.23547,0.55908
26,,336,714,,1392,3271,0.03923,0.11212,0.03515,0.23425,0.52285
27,293,972,1390,178,2333,4594,0.20699,0.35632,0.14096,0.61437,0.95309
28,8,680,1009,16,1443,3269,0.00904,0.0423,0.01124,0.08638,0.20946
29,,,,,,,0.0347,0.06468,0.02496,0.14804,0.40587
30,840,1330,1742,721,3343,5328,0.10426,0.24991,0.11038,0.39147,0.62728
31,433,1526,1770,295,3062,6046,0.24627,0.41541,0.16569,0.59255,0.95602
32,528,1320,1642,1089,2491,4533,0.07229,0.16251,0.05322,0.25938,0.56161
33,118,876,1184,,2254,4727,0.02601,0.05789,0.02214,0.14333,0.39943
34,179,603,702,,1901,3572,0.29242,0.47982,0.20513,0.81501,1.32637
